58,Buddhangala Rajamaha Vihara,"Buddhangala Monastery is located not far away from Ampara town. Buddangala monastery, a Buddhist meditation Centre, which is nearly 2300 years old.",Ampara,Eastern Province,441,"./assets/places/45.jpg





"
59,Kumana National Park,"Kumana National Park in Sri Lanka is renowned for its avifauna, particularly its large flocks of migratory waterfowl and wading birds.",Ampara,Eastern Province,208,"./assets/places/46.jpg






"
60,Batticaloa Fort,"The Batticaloa Fort was built by the Portuguese in 1628 and was captured by the Dutch on 18 May 1638. From 1795, the fort was used by the British.",Batticaloa,Eastern Province,291,"./assets/places/47.jpg







"
61,Kalladi Beach,Kallady Beach is as much a balm for the weary eyes as it is for the fatigued mind.,Batticaloa,Eastern Province,293,"./assets/places/48.jpg








"
62,Rawana Abyss,"This abyss is situated close to the Koneswaram Kovil. According to the legends, this abyss has been created by King Ravana.",Trincomalee,Eastern Province,238,"./assets/places/49.jpg









"
29,Fa Hien Cave,"Fa Hien Cave, also Pahiyangala Cave, is situated in the district of Kalutara, Western Province, Sri Lanka and according to a rural legend, named after an alleged resident during historical times, namely Buddhist monk Faxian.",Kalutara,Western Province,98,"./assets/places/15.jpg



"
39,Mirijjawila Botanical Garden,Mirijjawila Botanical Garden is one of the five botanical gardens in Sri Lanka.,Hambantota,Southern Province,257,"./assets/places/25.jpg






"
40,Panduwasnuwara archaeological site,"Panduwasnuwara is an ancient capital, situated in Kurunegala District, Sri Lanka. It is said to be the controlling centre known as Parakramapura of Dakkhinadesa (South Country) in the 12th century, when it was ruled by Parakramabahu.",Kurunegala,Wayamba Province,68,"./assets/places/26.jpg







"
52,Kadurugoda Temple,"Ancient Kadurugoda Viharaya with some remains of Stupas is situated in Kandarodai village in Chunnakam, Sri Lanka. The temple is considered one of the ancient Buddhist remains in existence today in Jaffna Peninsula.",Jaffna,North Province,382,"./assets/places/39.jpg










"
63,Trincomalee Beach,"Trincomalee, often referred to as Trinco, is located on the north-east coast of Sri Lanka offering two of the best beaches in the country, Uppuveli and Nilaveli Beach.",Trincomalee,Eastern Province,236,"./assets/places/50.jpg










"
64,Sembuwatte Lake,"Sembuwatta Lake is a tourist attraction situated at Elkaduwa in the Matale District of Sri Lanka, adjacent to the Campbell''s Lane Forest Reserve.",Matale,Central Province,141,"./assets/places/51.jpg











"
65,Sera Ella,"Sera Ella is a waterfall located in Pothatawela village, a place near Laggala in the Matale District of Sri Lanka",Matale,Central Province,190,"./assets/places/52.jpg












"
66,Kaludiya Pokuna,"Kaludiya Pokuna Archeological Forest Site (කළුදිය පොකුණ පුරාවිද්‍යා භූමිය), is a forest with archeological remains in Kandalama, in the Dry Zone of Sri Lanka.",Matale,Central Province,128,"./assets/places/53.jpg













"
67,Arthur's Seat,"Arthur’s Seat is a popular lookout point southwest of Kandy Lake, just past the Royal Palace Park.",Kandy,Central Province,113,"./assets/places/54.jpg


"
68,Sooriyagoda Rajamaha Vihara,Suriyagoda Rajamaha Viharaya is located in the Yatinuwara Area along the Kandy -Colombo road.,Kandy,Central Province,107,"./assets/places/55.jpg



"
69,Aberdeen Water Falls,"Aberdeen Falls is a 98 m (322 ft) high waterfall on the Kehelgamu Oya near Ginigathena, in the Nuwara Eliya District of Sri Lanka.",Nuwaraeliya,Central Province,98,"./assets/places/55.jpg
"
